day_date,twitter_reldates,tw_place_mentions
2019-04-01,"2019-04-01, 2019-03-31, 2019-03-30",
2019-04-02,"2019-04-02, 2019-04-01, 2019-03-31",
2019-04-03,"2019-04-03, 2019-04-02, 2019-04-01",
2019-04-05,"2019-04-05, 2019-04-04, 2019-04-03",
2019-04-09,"2019-04-09, 2019-04-08, 2019-04-07",
2019-04-10,"2019-04-10, 2019-04-09, 2019-04-08",
2019-04-11,"2019-04-11, 2019-04-10, 2019-04-09",
2019-04-12,"2019-04-12, 2019-04-11, 2019-04-10",
2019-04-16,"2019-04-16, 2019-04-15, 2019-04-14",
2019-04-24,"2019-04-24, 2019-04-23, 2019-04-22",
2019-04-25,"2019-04-25, 2019-04-24, 2019-04-23",
2019-04-26,"2019-04-26, 2019-04-25, 2019-04-24",
2019-04-29,"2019-04-29, 2019-04-28, 2019-04-27",
2019-04-30,"2019-04-30, 2019-04-29, 2019-04-28",
2019-05-01,"2019-05-01, 2019-04-30, 2019-04-29",
2019-05-02,"2019-05-02, 2019-05-01, 2019-04-30",
2019-05-03,"2019-05-03, 2019-05-02, 2019-05-01",
2019-05-06,"2019-05-06, 2019-05-05, 2019-05-04",
2019-05-07,"2019-05-07, 2019-05-06, 2019-05-05",
2019-05-08,"2019-05-08, 2019-05-07, 2019-05-06",
2019-05-09,"2019-05-09, 2019-05-08, 2019-05-07",
2019-05-10,"2019-05-10, 2019-05-09, 2019-05-08",
2019-05-11,"2019-05-11, 2019-05-10, 2019-05-09",
2019-05-12,"2019-05-12, 2019-05-11, 2019-05-10",
2019-05-13,"2019-05-13, 2019-05-12, 2019-05-11",
2019-05-14,"2019-05-14, 2019-05-13, 2019-05-12",horburgstrasse
2019-05-15,"2019-05-15, 2019-05-14, 2019-05-13",horburgstrasse
2019-05-16,"2019-05-16, 2019-05-15, 2019-05-14","bundesplatz, horburgstrasse"
2019-05-17,"2019-05-17, 2019-05-16, 2019-05-15",bundesplatz
2019-05-18,"2019-05-18, 2019-05-17, 2019-05-16",bundesplatz
2019-05-19,"2019-05-19, 2019-05-18, 2019-05-17",
2019-05-20,"2019-05-20, 2019-05-19, 2019-05-18",
2019-05-21,"2019-05-21, 2019-05-20, 2019-05-19",
2019-05-22,"2019-05-22, 2019-05-21, 2019-05-20",klybeckstrasse
2019-05-23,"2019-05-23, 2019-05-22, 2019-05-21",klybeckstrasse
2019-05-24,"2019-05-24, 2019-05-23, 2019-05-22",klybeckstrasse
2019-05-27,"2019-05-27, 2019-05-26, 2019-05-25",
2019-05-28,"2019-05-28, 2019-05-27, 2019-05-26",
2019-05-29,"2019-05-29, 2019-05-28, 2019-05-27",
2019-05-30,"2019-05-30, 2019-05-29, 2019-05-28",
2019-05-31,"2019-05-31, 2019-05-30, 2019-05-29",
2019-06-01,"2019-06-01, 2019-05-31, 2019-05-30",
2019-06-02,"2019-06-02, 2019-06-01, 2019-05-31",
2019-06-03,"2019-06-03, 2019-06-02, 2019-06-01",
2019-06-04,"2019-06-04, 2019-06-03, 2019-06-02",
2019-06-05,"2019-06-05, 2019-06-04, 2019-06-03",
2019-06-06,"2019-06-06, 2019-06-05, 2019-06-04",
2019-06-07,"2019-06-07, 2019-06-06, 2019-06-05",
2019-06-08,"2019-06-08, 2019-06-07, 2019-06-06",
2019-06-09,"2019-06-09, 2019-06-08, 2019-06-07",
2019-06-10,"2019-06-10, 2019-06-09, 2019-06-08",
2019-06-11,"2019-06-11, 2019-06-10, 2019-06-09",
2019-06-12,"2019-06-12, 2019-06-11, 2019-06-10",
2019-06-13,"2019-06-13, 2019-06-12, 2019-06-11",
2019-06-14,"2019-06-14, 2019-06-13, 2019-06-12",
2019-06-17,"2019-06-17, 2019-06-16, 2019-06-15",
2019-06-18,"2019-06-18, 2019-06-17, 2019-06-16",wasgenring
2019-06-19,"2019-06-19, 2019-06-18, 2019-06-17",wasgenring
2019-06-20,"2019-06-20, 2019-06-19, 2019-06-18","wasgenring, erlenmatt"
2019-06-21,"2019-06-21, 2019-06-20, 2019-06-19","theater, erlenmatt"
2019-06-22,"2019-06-22, 2019-06-21, 2019-06-20","theater, erlenmatt"
2019-06-23,"2019-06-23, 2019-06-22, 2019-06-21","theater, erlenmatt"
2019-07-01,"2019-07-01, 2019-06-30, 2019-06-29",
2019-07-02,"2019-07-02, 2019-07-01, 2019-06-30",
2019-07-03,"2019-07-03, 2019-07-02, 2019-07-01",
2019-07-05,"2019-07-05, 2019-07-04, 2019-07-03",
2019-07-09,"2019-07-09, 2019-07-08, 2019-07-07",aeschenplatz
2019-07-10,"2019-07-10, 2019-07-09, 2019-07-08",aeschenplatz
2019-07-11,"2019-07-11, 2019-07-10, 2019-07-09",
2019-07-12,"2019-07-12, 2019-07-11, 2019-07-10",
2019-07-13,"2019-07-13, 2019-07-12, 2019-07-11",
2019-07-17,"2019-07-17, 2019-07-16, 2019-07-15",
2019-07-18,"2019-07-18, 2019-07-17, 2019-07-16",
2019-07-19,"2019-07-19, 2019-07-18, 2019-07-17","hegenheimermattweg, bachgraben, breite"
2019-07-20,"2019-07-20, 2019-07-19, 2019-07-18","hegenheimermattweg, bachgraben, breite"
2019-07-21,"2019-07-21, 2019-07-20, 2019-07-19","hegenheimermattweg, bachgraben, breite"
2019-07-25,"2019-07-25, 2019-07-24, 2019-07-23","centralbahnplatz, nauenstrasse, morgartenring, mühlenberg"
2019-07-26,"2019-07-26, 2019-07-25, 2019-07-24","nauenstrasse, mühlenberg, morgartenring, marktplatz"
2019-07-27,"2019-07-27, 2019-07-26, 2019-07-25","redingstrasse, marktplatz, morgartenring, nauenstrasse, mühlenberg"
2019-07-28,"2019-07-28, 2019-07-27, 2019-07-26","redingstrasse, marktplatz"
2019-07-29,"2019-07-29, 2019-07-28, 2019-07-27",redingstrasse
2019-08-06,"2019-08-06, 2019-08-05, 2019-08-04","centralbahnplatz, zwinglihaus, kannenfeldplatz"
2019-08-07,"2019-08-07, 2019-08-06, 2019-08-05","centralbahnplatz, zwinglihaus, schützenmattstrasse"
2019-08-08,"2019-08-08, 2019-08-07, 2019-08-06","centralbahnplatz, schützenmattstrasse"
2019-08-09,"2019-08-09, 2019-08-08, 2019-08-07",schützenmattstrasse
2019-08-10,"2019-08-10, 2019-08-09, 2019-08-08",
2019-08-11,"2019-08-11, 2019-08-10, 2019-08-09",
2019-08-12,"2019-08-12, 2019-08-11, 2019-08-10","neubad, kleinhüningen"
2019-08-13,"2019-08-13, 2019-08-12, 2019-08-11","theater, kleinhüningen, luzernerring, bruderholzstrasse, neubad"
2019-08-14,"2019-08-14, 2019-08-13, 2019-08-12","theater, kleinhüningen, luzernerring, bruderholzstrasse, neubad"
2019-08-15,"2019-08-15, 2019-08-14, 2019-08-13","theater, gundeldingerstrasse, iwb, luzernerring, kleinhüningen, neubad, bruderholzstrasse, reinacherstrasse"
2019-08-19,"2019-08-19, 2019-08-18, 2019-08-17","wielandplatz, schützenhaus, brennerstrasse"
2019-08-20,"2019-08-20, 2019-08-19, 2019-08-18",eisengasse
2019-08-21,"2019-08-21, 2019-08-20, 2019-08-19","centralbahnplatz, eisengasse"
2019-08-23,"2019-08-23, 2019-08-22, 2019-08-21","centralbahnplatz, gundeldingerstrasse, rheingasse"
2019-08-27,"2019-08-27, 2019-08-26, 2019-08-25",wiesenstrasse
2019-09-04,"2019-09-04, 2019-09-03, 2019-09-02","dreispitz, bruderholzstrasse, allschwilerplatz"
2019-09-05,"2019-09-05, 2019-09-04, 2019-09-03","dreispitz, bruderholzstrasse, rheingasse"
2019-09-06,"2019-09-06, 2019-09-05, 2019-09-04",rheingasse
2019-09-07,"2019-09-07, 2019-09-06, 2019-09-05",rheingasse
2019-09-08,"2019-09-08, 2019-09-07, 2019-09-06",dreispitz
2019-09-12,"2019-09-12, 2019-09-11, 2019-09-10",
2019-09-13,"2019-09-13, 2019-09-12, 2019-09-11","bruderholzstrasse, kannenfeldplatz"
2019-09-14,"2019-09-14, 2019-09-13, 2019-09-12","bruderholzstrasse, kannenfeldplatz"
2019-09-16,"2019-09-16, 2019-09-15, 2019-09-14",
2019-09-20,"2019-09-20, 2019-09-19, 2019-09-18","spalenberg, münsterplatz, st. jakob, gundeldingerstrasse"
